Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,DBH,DBH Round,Index
St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4576223,-73.642785,67.1,67,1
St. Ignatius Church,I1,PIPU,Picea Pungens,45.4576477,-73.6426244,43.6,44,2
St. Ignatius Church,I1,PIPU,Picea Pungens,45.4576957,-73.6427264,43.5,44,3
St. Ignatius Church,I1,THOC,Thuja Occidentalis,45.4577199,-73.6425453,11.8,12,4
St. Ignatius Church,I1,AMCA,Amelanchier Canadensis,45.4577328,-73.6425671,52.1,52,5
St. Ignatius Church,I1,PIPU,Picea Pungens,45.4578354,-73.6425295,45.9,46,6
St. Ignatius Church,I1,CAAB,Caragana Arborescens 'Pendula',45.4579252,-73.6425289,19.9,20,7
St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4577211,-73.6430345,61,61,8
St. Ignatius Church,I1,ACNE,Acer Negundo,45.4581874,-73.6425567,12.1,12,9
St. Ignatius Church,I1,ACNE,Acer Negundo,45.4582091,-73.6425537,42.6,43,10
St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4582077,-73.6424866,27.4,27,11
St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4582248,-73.6424816,37.3,37,12
St. Ignatius Church,I1,ACPL,Acer Platanoides,45.458246,-73.6424726,23,23,13
St. Ignatius Church,I1,ROWO,Rosa Woodsii,45.4581705,-73.64215,25.2,25,14
St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4581653,-73.6421162,55.3,55,15
St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4581566,-73.642086,116.6,117,16
St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4574727,-73.642432,48.3,48,17
St. Ignatius Church,I1,ACSA,Acer Saccharinum,45.4574029,-73.642318,37.2,37,18
St. Ignatius Church,I1,TIAM,Tilia Americana,45.4575788,-73.642316,69.7,70,19
St. Ignatius Church,I1,ALGL,Alnus Glutinosa,45.4575894,-73.6422821,13.6,14,20
St. Ignatius Church,I1,ULXXFR,Ulmus 'Frontier',45.4576063,-73.6421778,52.7,53,21
St. Ignatius Church,I1,ACPL,Acer Platanoides,45.4580579,-73.6420025,15.1,15,22
St. Ignatius Church,I1,SOAU,Sorbus Aucuparia,45.45808,-73.6420297,11.4,11,23
St. Ignatius Church,I1,ACPL,Acer Platanoides,45.458091,-73.6420461,12.1,12,24
St. Ignatius Church,I1,TIAM,Tilia Americana,45.4575612,-73.6423036,22.4,22,25
St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579132,-73.6419515,9.8,10,26
St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579231,-73.6419656,6.2,6,27
St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579262,-73.6419784,6.9,7,28
St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579643,-73.6419187,20.4,20,29
St. Ignatius Church,I1,ULAM,Ulmus Americana,45.4579478,-73.641893,5.1,5,30
St. Thomas Church,I2,AEHI,Aesculus Hippocastanum,45.4636288,-73.6423109,118.5,119,31
St. Thomas Church,I2,ACPL,Acer Platanoides,45.469574,-73.6422995,79,79,32
St. Thomas Church,I2,PIGL,Picea Glauca,45.4636698,-73.6421436,48.8,49,33
St. Thomas Church,I2,QUMA,Quercus Macrocarpa,45.4637648,-73.6421078,34.3,34,34
St. Thomas Church,I2,MABA,Malus Baccata,45.463797,-73.6420689,5,5,35
St. Thomas Church,I2,CGPU,Crataegus Punctata,45.4637243,-73.6420685,35.5,36,36
St. Thomas Church,I2,CGPU,Crataegus Punctata,45.4637314,-73.6420514,34.5,35,37
St. Thomas Church,I2,CGPU,Crataegus Punctata,45.4637241,-73.6420524,23,23,38
St. Thomas Church,I2,AEHI,Aesculus Hippocastanum,45.4636909,-73.6422147,85.6,86,39
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4638322,-73.6422751,6,6,40
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4637894,-73.6421845,14.3,14,41
St. Thomas Church,I2,ULAM,Ulmus Americana,45.4637036,-73.642443,8.2,8,42
St. Thomas Church,I2,ACFR,Acer Freemannii,45.4637173,-73.6423059,13.4,13,43
St. Thomas Church,I2,TACA,Taxus Canadensis,45.46373,-73.642256,24.1,24,44
St. Thomas Church,I2,ACPL,Acer Platanoides,45.463662,-73.642145,165.5,166,45
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4635489,-73.6422157,57.8,58,46
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4634765,-73.6421051,46.6,47,47
St. Thomas Church,I2,JUVI,Juniperus Virginiana,45.4633441,-73.6419572,6.7,7,48
St. Thomas Church,I2,JUVI,Juniperus Virginiana,45.4633669,-73.641912,10.1,10,49
St. Thomas Church,I2,MABA,Malus x 'Makamik',45.4634607,-73.6418929,6.3,6,50
St. Thomas Church,I2,ACPL,Acer Platanoides,45.4635108,-73.6418235,59.1,59,51
St. Thomas Church,I2,LOXY,Lonicera Xylosteum,45.4635343,-73.6419328,11.2,11,52
St. Thomas Church,I2,TACA,Taxus Canadensis,45.4636262,-73.6418154,43.1,43,53
St. Thomas Church,I2,TACA,Taxus Canadensis,45.4636754,-73.641977,66.1,66,54
