fid,Site Code,Species Code,Species latin,Longitude,Latitude,DBH (2020),DBH Round,Index
1735,S1,TICO,Tilia cordata,-73.637747,45.459467,65.9,66,1
1300,S1,ACPL,Acer platanoides 'Deborah',-73.637867,45.459511,17.2,17,2
1736,S1,TICO,Tilia cordata,-73.638442,45.459732,57.9,58,3
1741,S1,TICO,Tilia cordata,-73.63855,45.459772,56.3,56,4
1742,S1,TICO,Tilia cordata,-73.638666,45.459822,59.2,59,5
1702,S1,TICO,Tilia cordata,-73.638782,45.459867,49.7,50,6
2672,S1,TIAM,Tilia americana 'Redmond',-73.638895,45.459911,32.2,32,7
1703,S1,TICO,Tilia cordata,-73.638995,45.459952,57.1,57,8
1291,S1,AEHI,Aesculus hippocastanum,-73.639089,45.459988,79.9,80,9
2027,S1,ACPL,Acer platanoides,-73.639221,45.460039,73.5,74,10
1704,S1,TICO,Tilia cordata,-73.639351,45.460091,53.5,54,11
1705,S1,TICO,Tilia cordata,-73.639461,45.460131,68.9,69,12
2590,S1,QURU,Quercus rubra,-73.639724,45.460232,11.5,12,13
1509,S1,TICO,Tilia cordata 'Glenleven',-73.639803,45.460261,37.7,38,14
1706,S1,TICO,Tilia cordata,-73.639955,45.46032,56.9,57,15
1707,S1,TICO,Tilia cordata,-73.640036,45.460355,56.8,57,16
1287,S1,GLTR,Gleditsia triacanthos,-73.63734,45.459323,7,7,17
2028,S1,ACPL,Acer platanoides,-73.6380154,45.4595759,69.5,70,18
2740,S107,ACSA,Acer saccharinum,-73.640612,45.460368,48.4,48,19
2741,S107,ACSA,Acer saccharinum,-73.640744,45.460413,85.9,86,20
2763,S107,ACSA,Acer saccharinum,-73.641002,45.460516,47.4,47,21
1301,S107,ACPLDE,Acer platanoides 'Deborah',-73.6411,45.460557,16.6,17,22
3319,S107,LITU,Liriodendron tulipifera,-73.641221,45.460601,5.8,6,23
1302,S107,ACPLDE,Acer platanoides 'Deborah',-73.641968,45.460893,28,28,25
1303,S107,ACPLDE,Acer platanoides 'Deborah',-73.642334,45.461032,34.2,34,27
3231,S2,GLTR,Gleditsia triacanthos var. inermis,-73.638114,45.459467,45.6,46,30
1510,S2,SYRE,Syringa reticulata 'Golden Eclipse',-73.638354,45.459561,5.7,6,31
3232,S2,GLTR,Gleditsia triacanthos var. inermis,-73.638477,45.459606,62.8,63,32
1511,S2,SYRE,Syringa reticulata 'Golden Eclipse',-73.638574,45.459642,9.1,9,33
