fid,Sample Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,layer,DBH,DBH Round,index,,
472,St. Catherine de Sienne School,I12,GLTR,Gleditsia Triacanthos,45.461346,-73.6434784,CSC4,24.5,25,1,,
473,St. Catherine de Sienne School,I12,GLTR,Gleditsia Triacanthos,45.4612853,-73.6435243,CSC4,20.9,21,2,,
474,St. Catherine de Sienne School,I12,GLTR,Gleditsia Triacanthos,45.4612253,-73.6435676,CSC4,21.7,22,3,,
475,St. Catherine de Sienne School,I12,MABA,Malus Robusta 'Erecta',45.4609946,-73.6437332,CSC8,64.8,65,4,,
476,St. Catherine de Sienne School,I12,MCAM,Maackia Amurensis,45.4608808,-73.6438368,CSC8,6.7,7,5,,
477,St. Catherine de Sienne School,I12,AMGR,Amelanchier x grandiflora,45.4608093,-73.6438821,CSC7,9.3,9,6,,
478,St. Catherine de Sienne School,I12,MCAM,Maackia Amurensis,45.4606193,-73.6440212,CSC2,5.2,5,7,,
481,St. Catherine de Sienne School,I12,ACSC,Acer Saccharum,45.4608265,-73.6446532,CSC9,54.2,54,10,,
483,St. Catherine de Sienne School,I12,QUBI,Quercus Bicolor,45.4609499,-73.6445328,CSC5,5.9,6,12,,
484,St. Catherine de Sienne School,I12,ACRU,Acer Rubrum,45.4609257,-73.6444309,CSC9,7.5,8,13,,
485,St. Catherine de Sienne School,I12,CEOC,Celtis Occidentalis,45.4609121,-73.6445164,CSC9,6.8,7,14,,
486,St. Catherine de Sienne School,I12,ULPU,Ulmus Pumila,45.4611663,-73.6443816,CSC5,6.1,6,15,,
487,St. Catherine de Sienne School,I12,ALGL,Alnus Glutinosa,45.4612331,-73.6443364,CSC1,5.3,5,16,,
488,St. Catherine de Sienne School,I12,TICO,Tilia Cordata,45.4612695,-73.6443216,CSC1,10.7,11,17,,
490,St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.461341,-73.6442609,CSC1,10.7,11,19,,
491,St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4613695,-73.6442418,CSC1,6.8,7,20,,
492,St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4613951,-73.6442234,CSC1,10.1,10,21,,
493,St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4614283,-73.6441888,CSC1,9.7,10,22,,
494,St. Catherine de Sienne School,I12,THOC,Thuja Occidentalis,45.4614534,-73.6441721,CSC1,9.6,10,23,,
496,St. Catherine de Sienne School,I12,TICO,Tilia Cordata,45.4615129,-73.6441265,CSC1,8.6,9,25,,
