fid,Sample Site,Site Code,Species Code,Species Latin,Species Common,DBH (2020):,DBH Round,Latitude,Longitude,layer,INDEX
56,BENNY,P1,PHAM,Phellodendron Amurensis 'His Majesty',His Majesty Amur corktree,4.5,5,45.466761,-73.632052,B13,1
101,BENNY,P1,ACSC,Acer Saccharum,Sugar Maple,4.5,5,45.467302,-73.633105,B3,2
159,BENNY,P1,TIMOHG,Tilia x Mongolica 'Harvest Gold',Harvest Gold Mongolian Linden,4.5,5,45.467559,-73.633068,B45,3
115,BENNY,P1,RHTY,Rhus Typhina,Staghorn Sumac,4.6,5,45.4655723,-73.6324726,B34,4
160,BENNY,P1,PIOM,Picea Omorika,Serbian Spruce,4.7,5,45.467539,-73.633291,B45,5
163,BENNY,P1,ACFR,Acer Freemannii 'Armstrong',Montreal Silver Maple,4.9,5,45.466785,-73.631866,B46,6
65,BENNY,P1,ACFR,Acer Freemannii 'Armstrong',Freeman Maple,5,5,45.466579,-73.631368,B19,7
98,BENNY,P1,BENI,Betula Nigra,Heritage River Birch,5.1,5,45.466673,-73.63134,B29,8
99,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,5.2,5,45.466636,-73.631152,B29,9
12,BENNY,P1,CAAR,Caragana Arborescens,Siberian Pea Tree,5.3,5,45.4663229,-73.6327127,B11,10
224,BENNY,P1,LADE,Larix Decidua,European Larch,5.8,6,45.4662161,-73.6334845,B7,11
57,BENNY,P1,LITU,Liriodendron Tulipifera,Tulip Tree,6.1,6,45.467097,-73.632227,B14,12
176,BENNY,P1,JUCI,Juglans Cinerea,Butternut,6.2,6,45.4660094,-73.6320126,B53,13
246,BENNY,P1,MABA,Malus Baccata,Crab Apple,6.2,6,45.466149,-73.632864,B71,14
116,BENNY,P1,RHTY,Rhus Typhina,Staghorn Sumac,6.4,6,45.4655723,-73.632486,B34,15
247,BENNY,P1,MABA,Malus Baccata,Crab Apple,6.5,7,45.466127,-73.632815,B71,16
171,BENNY,P1,LADE,Larix Decidua,European Larch,6.7,7,45.4663196,-73.6332608,B50,17
13,BENNY,P1,CEOC,Celtis Occidentalis,Common Hackberry,6.8,7,45.4663212,-73.6327304,B11,18
177,BENNY,P1,JUNI,Juglans Nigra,Eastern Black Walnut,6.8,7,45.465962,-73.631974,B53,19
237,BENNY,P1,VILE,Viburnum Lentago,Nannyberry,6.8,7,45.4669747,-73.6318081,B70,20
107,BENNY,P1,PNNI,Pinus Nigra 'Austriaca',Austrian Pine,7.1,7,45.4659946,-73.6329413,B31,21
