Sample Site,Site Code,Layer,Area
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B10,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B11,0.040
BENNY,P1,B13,0.040
BENNY,P1,B14,0.040
BENNY,P1,B14,0.040
BENNY,P1,B14,0.040
BENNY,P1,B16,0.040
BENNY,P1,B18,0.040
BENNY,P1,B18,0.040
BENNY,P1,B18,0.040
BENNY,P1,B18,0.040
BENNY,P1,B19,0.040
BENNY,P1,B19,0.040
BENNY,P1,B19,0.040
BENNY,P1,B19,0.040
BENNY,P1,B19,0.040
BENNY,P1,B19,0.040
BENNY,P1,B2,0.040
BENNY,P1,B2,0.040
BENNY,P1,B2,0.040
BENNY,P1,B20,0.040
BENNY,P1,B20,0.040
BENNY,P1,B20,0.040
BENNY,P1,B20,0.040
BENNY,P1,B21,0.040
BENNY,P1,B21,0.040
BENNY,P1,B21,0.040
BENNY,P1,B23,0.040
BENNY,P1,B23,0.040
BENNY,P1,B23,0.040
BENNY,P1,B24,0.040
BENNY,P1,B24,0.040
BENNY,P1,B24,0.040
BENNY,P1,B24,0.040
BENNY,P1,B25,0.040
BENNY,P1,B25,0.040
BENNY,P1,B25,0.040
BENNY,P1,B25,0.040
BENNY,P1,B25,0.040
BENNY,P1,B27,0.040
BENNY,P1,B27,0.040
BENNY,P1,B28,0.040
BENNY,P1,B28,0.040
BENNY,P1,B28,0.040
BENNY,P1,B29,0.040
BENNY,P1,B29,0.040
BENNY,P1,B29,0.040
BENNY,P1,B3,0.040
BENNY,P1,B3,0.040
BENNY,P1,B3,0.040
BENNY,P1,B3,0.040
BENNY,P1,B3,0.040
BENNY,P1,B3,0.040
BENNY,P1,B31,0.040
BENNY,P1,B31,0.040
BENNY,P1,B31,0.040
BENNY,P1,B31,0.040
BENNY,P1,B31,0.040
BENNY,P1,B31,0.040
BENNY,P1,B33,0.040
BENNY,P1,B33,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B34,0.040
BENNY,P1,B35,0.040
BENNY,P1,B35,0.040
BENNY,P1,B36,0.040
BENNY,P1,B36,0.040
BENNY,P1,B36,0.040
BENNY,P1,B36,0.040
BENNY,P1,B37,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B38,0.040
BENNY,P1,B39,0.040
BENNY,P1,B40,0.040
BENNY,P1,B40,0.040
BENNY,P1,B41,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B42,0.040
BENNY,P1,B43,0.040
BENNY,P1,B45,0.040
BENNY,P1,B45,0.040
BENNY,P1,B45,0.040
BENNY,P1,B45,0.040
BENNY,P1,B46,0.040
BENNY,P1,B46,0.040
BENNY,P1,B47,0.040
BENNY,P1,B49,0.040
BENNY,P1,B5,0.040
BENNY,P1,B5,0.040
BENNY,P1,B5,0.040
BENNY,P1,B5,0.040
BENNY,P1,B50,0.040
BENNY,P1,B51,0.040
BENNY,P1,B51,0.040
BENNY,P1,B51,0.040
BENNY,P1,B51,0.040
BENNY,P1,B53,0.040
BENNY,P1,B53,0.040
BENNY,P1,B53,0.040
BENNY,P1,B53,0.040
BENNY,P1,B53,0.040
BENNY,P1,B54,0.040
BENNY,P1,B54,0.040
BENNY,P1,B54,0.040
BENNY,P1,B54,0.040
BENNY,P1,B54,0.040
BENNY,P1,B54,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B55,0.040
BENNY,P1,B56,0.040
BENNY,P1,B57,0.040
BENNY,P1,B57,0.040
BENNY,P1,B58,0.040
BENNY,P1,B60,0.040
BENNY,P1,B61,0.040
BENNY,P1,B61,0.040
BENNY,P1,B61,0.040
BENNY,P1,B61,0.040
BENNY,P1,B61,0.040
BENNY,P1,B61,0.040
BENNY,P1,B62,0.040
BENNY,P1,B63,0.040
BENNY,P1,B64,0.040
BENNY,P1,B64,0.040
BENNY,P1,B64,0.040
BENNY,P1,B67,0.040
BENNY,P1,B69,0.040
BENNY,P1,B69,0.040
BENNY,P1,B69,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B7,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B70,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B71,0.040
BENNY,P1,B72,0.040
BENNY,P1,B72,0.040
BENNY,P1,B72,0.040
BENNY,P1,B72,0.040
BENNY,P1,B72,0.040
BENNY,P1,B72,0.040
BENNY,P1,B72,0.040
BENNY,P1,B73,0.040
BENNY,P1,B78,0.040
BENNY,P1,B78,0.040
BENNY,P1,B78,0.040
BENNY,P1,B78,0.040
BENNY,P1,B78,0.040
BENNY,P1,B79,0.040
BENNY,P1,B79,0.040
BENNY,P1,B79,0.040
BENNY,P1,B79,0.040
BENNY,P1,B79,0.040
BENNY,P1,B8,0.040
BENNY,P1,B80,0.040
BENNY,P1,B80,0.040
BENNY,P1,B80,0.040
BENNY,P1,B80,0.040
BENNY,P1,B80,0.040
BENNY,P1,B81,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B82,0.040
BENNY,P1,B83,0.040
BENNY,P1,B83,0.040
BENNY,P1,B83,0.040
BENNY,P1,B83,0.040
BENNY,P1,B83,0.040
BENNY,P1,B87,0.040
BENNY,P1,B87,0.040
BENNY,P1,B87,0.040
BENNY,P1,B87,0.040
