Sample.Site,Site.Code,Layer,Area
St. Catherine de Sienne School,I12,CSC4,0.044
St. Catherine de Sienne School,I12,CSC4,0.044
St. Catherine de Sienne School,I12,CSC4,0.044
St. Catherine de Sienne School,I12,CSC8,0.044
St. Catherine de Sienne School,I12,CSC8,0.044
St. Catherine de Sienne School,I12,CSC7,0.044
St. Catherine de Sienne School,I12,CSC2,0.044
St. Catherine de Sienne School,I12,CSC9,0.044
St. Catherine de Sienne School,I12,CSC5,0.044
St. Catherine de Sienne School,I12,CSC9,0.044
St. Catherine de Sienne School,I12,CSC9,0.044
St. Catherine de Sienne School,I12,CSC5,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC1,0.044
St. Catherine de Sienne School,I12,CSC3,0.044
St. Catherine de Sienne School,I12,CSC3,0.044
St. Catherine de Sienne School,I12,CSC3,0.044
St. Catherine de Sienne School,I12,CSC3,0.044
St. Catherine de Sienne School,I12,CSC3,0.044
St. Catherine de Sienne Church,I4,CC6,0.040
St. Catherine de Sienne Church,I4,CC6,0.040
St. Catherine de Sienne Church,I4,CC6,0.040
St. Catherine de Sienne Church,I4,CC6,0.040
St. Catherine de Sienne Church,I4,CC7,0.040
St. Catherine de Sienne Church,I4,CC7,0.040
St. Catherine de Sienne Church,I4,CC6,0.040
St. Catherine de Sienne Church,I4,CC2,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC2,0.040
St. Catherine de Sienne Church,I4,CC8,0.040
St. Catherine de Sienne Church,I4,CC3,0.040
St. Catherine de Sienne Church,I4,CC3,0.040
St. Catherine de Sienne Church,I4,CC4,0.040
St. Catherine de Sienne Church,I4,CC4,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC5,0.040
St. Catherine de Sienne Church,I4,CC8,0.040
St. Catherine de Sienne Church,I4,CC8,0.040
St. Catherine de Sienne Church,I4,CC8,0.040
St. Catherine de Sienne Church,I4,CC8,0.040
St. Catherine de Sienne Church,I4,CC8,0.040
St. Catherine de Sienne Church,I4,CC2,0.040
St. Catherine de Sienne Church,I4,CC2,0.040
College Prep International,I7,CP2,0.055
College Prep International,I7,CP1,0.055
College Prep International,I7,CP2,0.055
College Prep International,I7,CP2,0.055
Greaves Academy,I13,G5,0.046
Greaves Academy,I13,G5,0.046
Greaves Academy,I13,G5,0.046
St. Ignatius Church,I1,IG5,0.046
St. Ignatius Church,I1,IG5,0.046
St. Ignatius Church,I1,IG5,0.046
St. Ignatius Church,I1,IG5,0.046
St. Ignatius Church,I1,IG5,0.046
St. Ignatius Church,I1,IG3,0.046
St. Ignatius Church,I1,IG3,0.046
St. Ignatius Church,I1,IG5,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG1,0.046
St. Ignatius Church,I1,IG2,0.046
St. Ignatius Church,I1,IG2,0.046
St. Ignatius Church,I1,IG2,0.046
St. Ignatius Church,I1,IG2,0.046
St. Ignatius Church,I1,IG7,0.046
St. Ignatius Church,I1,IG7,0.046
St. Ignatius Church,I1,IG7,0.046
St. Ignatius Church,I1,IG2,0.046
St. Ignatius Church,I1,IG4,0.046
St. Ignatius Church,I1,IG4,0.046
St. Ignatius Church,I1,IG4,0.046
St. Ignatius Church,I1,IG4,0.046
St. Ignatius Church,I1,IG4,0.046
Judith Jasmine School,I15,J17,0.041
Judith Jasmine School,I15,J17,0.041
Judith Jasmine School,I15,J17,0.041
Judith Jasmine School,I15,J2,0.041
Judith Jasmine School,I15,J2,0.041
Judith Jasmine School,I15,J2,0.041
Judith Jasmine School,I15,J2,0.041
Judith Jasmine School,I15,J1,0.041
Judith Jasmine School,I15,J1,0.041
Judith Jasmine School,I15,J10,0.041
Judith Jasmine School,I15,J19,0.041
Judith Jasmine School,I15,J19,0.041
Judith Jasmine School,I15,J19,0.041
Judith Jasmine School,I15,J19,0.041
Judith Jasmine School,I15,J14,0.041
Judith Jasmine School,I15,J20,0.041
Judith Jasmine School,I15,J20,0.041
Judith Jasmine School,I15,J20,0.041
Judith Jasmine School,I15,J3,0.041
Judith Jasmine School,I15,J3,0.041
Judith Jasmine School,I15,J3,0.041
Judith Jasmine School,I15,J3,0.041
Judith Jasmine School,I15,J3,0.041
Judith Jasmine School,I15,J12,0.041
Judith Jasmine School,I15,J6,0.041
Judith Jasmine School,I15,J6,0.041
Judith Jasmine School,I15,J20,0.041
Judith Jasmine School,I15,J20,0.041
Judith Jasmine School,I15,J20,0.041
Judith Jasmine School,I15,J11,0.041
Judith Jasmine School,I15,J11,0.041
Judith Jasmine School,I15,J11,0.041
Judith Jasmine School,I15,J11,0.041
Judith Jasmine School,I15,J7,0.041
Judith Jasmine School,I15,J7,0.041
Judith Jasmine School,I15,J7,0.041
Judith Jasmine School,I15,J17,0.041
Judith Jasmine School,I15,J17,0.041
Kells Primary Academy,I9,KP6,0.041
Kells Primary Academy,I9,KP4,0.041
Kells Primary Academy,I9,KP4,0.041
Kells Primary Academy,I9,KP8,0.041
Kells Primary Academy,I9,KP8,0.041
Kells Primary Academy,I9,KP8,0.041
Kells Primary Academy,I9,KP8,0.041
Kells Primary Academy,I9,KP8,0.041
