GS.Type,Subsite.Code,Site.Code,GIS.Code,SR,Subsite.Code,Abund,PIE,Area,Basal.Area
Inst,I1.1,I1,IG1,5,IG1,8,0.8571430,0.046,0.21547269
Inst,I1.2,I1,IG2,4,IG2,5,0.9000000,0.046,0.16788010
Inst,I1.3,I1,IG3,2,IG3,2,1.0000000,0.046,0.09875300
Inst,I1.4,I1,IG4,1,IG4,5,0.0000000,0.046,0.00957700
Inst,I1.5,I1,IG5,5,IG5,6,0.9333330,0.046,0.19533400
Inst,I1.6,I1,IG7,2,IG7,3,0.6666670,0.046,0.01282170
Inst,I10.1,I10,STL1,2,STL1,3,0.6666670,0.040,0.22466700
Inst,I10.10,I10,STL10,3,STL10,3,1.0000000,0.040,0.12227700
Inst,I10.11,I10,STL11,1,STL11,3,0.0000000,0.040,0.00253817
Inst,I10.12,I10,STL12,1,STL12,1,1.0000000,0.040,0.04906250
Inst,I10.13,I10,STL13,2,STL13,11,0.1818180,0.040,0.01031920
Inst,I10.2,I10,STL14,2,STL14,3,0.6666670,0.040,0.21598000
Inst,I10.3,I10,STL2,3,STL2,3,1.0000000,0.040,0.08996100
Inst,I10.4,I10,STL4,4,STL4,16,0.3500000,0.040,0.02799020
Inst,I10.5,I10,STL5,2,STL5,3,0.6666670,0.040,0.12094200
Inst,I10.6,I10,STL6,2,STL6,9,0.3888890,0.040,0.03046670
Inst,I10.7,I10,STL7,2,STL7,4,0.5000000,0.040,0.03402975
Inst,I10.8,I10,STL8,2,STL8,3,0.6666670,0.040,0.04443100
Inst,I10.9,I10,STL9,1,STL9,4,0.0000000,0.040,0.00451375
Inst,I11.1,I11,LH10,2,LH10,4,0.5000000,0.041,0.01283475
Inst,I11.2,I11,LH12,2,LH12,2,1.0000000,0.041,0.22961250
Inst,I11.3,I11,LH2,2,LH2,7,0.2857140,0.041,0.06350650
Inst,I11.4,I11,LH3,3,LH3,7,0.6666670,0.041,0.05229220
Inst,I11.5,I11,LH4,2,LH4,2,1.0000000,0.041,0.50318500
Inst,I11.6,I11,LH7,2,LH7,2,1.0000000,0.041,0.10817300
Inst,I11.7,I11,LH8,4,LH8,5,0.9000000,0.041,0.17455260
Inst,I12.1,I12,CSC1,3,CSC1,8,0.6071430,0.044,0.00683931
Inst,I12.2,I12,CSC2,1,CSC2,1,1.0000000,0.044,0.00196250
Inst,I12.3,I12,CSC3,4,CSC3,5,0.9000000,0.044,0.00292020
Inst,I12.4,I12,CSC4,1,CSC4,3,0.0000000,0.044,0.04055830
Inst,I12.5,I12,CSC5,2,CSC5,2,1.0000000,0.044,0.00282600
Inst,I12.6,I12,CSC7,1,CSC7,1,1.0000000,0.044,0.00635850
Inst,I12.7,I12,CSC8,2,CSC8,2,1.0000000,0.044,0.16775450
Inst,I12.8,I12,CSC9,3,CSC9,3,1.0000000,0.044,0.07925880
Inst,I2.1,I2,ST1,4,ST1,7,0.8095240,0.044,0.09785590
Inst,I2.2,I2,ST2,6,ST2,6,1.0000000,0.044,0.11225500
Inst,I2.3,I2,ST3,7,ST3,9,0.9444440,0.044,0.08441370
Inst,I2.4,I2,ST4,5,ST4,7,0.8571430,0.044,0.62391800
Inst,I2.5,I2,ST5,4,ST5,6,0.8000000,0.044,0.15703925
Inst,I2.6,I2,ST6,5,ST6,7,0.8571430,0.044,0.04217690
Inst,I2.7,I2,ST7,1,ST7,1,1.0000000,0.044,0.01538600
Inst,I2.8,I2,ST9,4,ST9,6,0.8666670,0.044,0.07844770
Inst,I13.1,I13,G5,3,G5,3,1.0000000,0.046,0.14666400
Inst,I14.1,I14,WI1,1,WI1,2,0.0000000,0.041,0.05314450
Inst,I14.2,I14,WI3,1,WI3,3,0.0000000,0.041,0.22770200
Inst,I14.3,I14,WI8,2,WI8,3,0.6666670,0.041,0.04605330
Inst,I15.1,I15,J1,1,J1,2,0.0000000,0.041,0.36883225
Inst,I15.10,I15,J10,1,J10,1,1.0000000,0.041,0.56716250
Inst,I15.11,I15,J11,2,J11,4,0.5000000,0.041,0.11459038
Inst,I15.12,I15,J12,1,J12,1,1.0000000,0.041,0.04521600
Inst,I15.2,I15,J14,1,J14,1,1.0000000,0.041,0.00502400
Inst,I15.3,I15,J17,5,J17,5,1.0000000,0.041,0.32283910
Inst,I15.4,I15,J19,4,J19,4,1.0000000,0.041,0.00370913
Inst,I15.5,I15,J2,3,J2,4,0.8333330,0.041,0.05722650
Inst,I15.6,I15,J20,4,J20,6,0.8000000,0.041,0.02394250
Inst,I15.7,I15,J3,3,J3,5,0.8000000,0.041,0.02067690
