"Site.Code","PIE.site"
"I1",0.7261905
"I10",0.545182692307692
"I11",0.764625857142857
"I12",0.813392875
"I13",1
"I14",0.222222333333333
"I15",0.744444416666667
"I16",0.820635
"I2",0.891865125
"I3",0.8551283
"I4",0.685374142857143
"I5",0.796637866666667
"I6",0.644183
"I7",1
"I8",0.45
"I9",0.297910777777778
"P1",0.735592765625
"P2",0.742279909090909
"P3",0.6717355
"P4",0.813718857142857
"P5",0.706879660550459
"P6",0.570311604938272
"P7",0.669047655172414
"S1",0.620915
"S10",0.807692
"S100",0.816667
"S101",0.215686
"S102",0.955556
"S103",0.757895
"S104",0.872727
"S105",0.676667
"S106",0.538012
"S107",0.714286
"S108",0.274725
"S109",0.904762
"S11",0.875
"S12",0.75
"S13",0.747253
"S14",0.783333
"S15",0.538462
"S16",0.871795
"S17",0.727273
"S18",0.866667
"S19",0.948718
"S2",0.654412
"S20",0.647619
"S21",0.738462
"S22",0.952381
"S23",0.644444
"S24",0.818713
"S25",0.641026
"S26",0.405229
"S27",0.758242
"S28",0.857143
"S29",0.695238
"S3",0.480952
"S30",0.918129
"S31",0.584211
"S32",0.414286
"S33",0.7
"S34",0.916667
"S35",0.934641
"S36",0.582418
"S37",0.561905
"S38",0.933333
"S39",0.704762
"S4",0.794872
"S40",0.848485
"S41",0.562092
"S42",0.525
"S43",0.633987
"S44",0.822134
"S45",0.741667
"S46",0.813853
"S47",0.752632
"S48",0.593074
"S49",0.545455
"S5",0.809524
"S50",0.583333
"S51",0.842857
"S52",0.779412
"S53",0.781818
"S54",0.89011
"S55",0.888889
"S56",0.835165
"S57",0.683824
"S58",0.722222
"S59",0.848485
"S6",1
"S60",0.964286
"S61",0.908333
"S62",0.935897
"S63",0.926471
"S64",0.90942
"S65",0.595588
"S66",0.916667
"S67",0.47619
"S68",0.661765
"S69",0.764706
"S7",0.654545
"S70",0.654971
"S71",0.794737
"S72",0.923077
"S73",0.298246
"S74",0.720588
"S75",0.639706
"S76",0.897436
"S77",0.757143
"S78",0.657143
"S79",0.5
"S8",0
"S80",0.423913
"S81",0.714286
"S82",0.766082
"S83",0.884615
"S84",0.753333
"S85",0.742424
"S86",0.651515
"S87",0
"S88",0.491667
"S89",0.75
"S9",0.181818
"S90",0.2
"S91",0.454545
"S92",0.257143
"S93",0.8
"S94",0.718954
"S95",0.8
"S96",0.675
"S97",0.644444
"S98",0.842105
"S99",0.454545
"Y1",0.379447
"Y10",1
"Y11",0.977778
"Y12",0.8
"Y13",0.757576
"Y14",1
"Y15",0.714286
"Y16",1
"Y17",0.694444
"Y18",0.666667
"Y19",0.9
"Y2",0.833333
"Y20",0.9
"Y21",1
"Y22",0.666667
"Y23",0.9
"Y24",0.735931
"Y25",1
"Y26",0
"Y27",0.9
"Y28",0.785714
"Y29",0.888889
"Y3",1
"Y30",1
"Y31",0
"Y32",0.52381
"Y33",0.893939
"Y34",0.666667
"Y35",1
"Y36",0.833333
"Y37",1
"Y4",0.833333
"Y40",0.606897
"Y42",1
"Y43",1
"Y44",1
"Y45",0.5
"Y46",0.615563
"Y47",0.282051
"Y48",0.714286
"Y49",1
"Y5",0.944444
"Y50",0.892857
"Y51",0.52381
"Y52",1
"Y53",1
"Y54",0.957143
"Y55",1
"Y56",1
"Y57",1
"Y58",0.833333
"Y59",1
"Y6",0.355556
"Y60",0.505495
"Y61",0.833333
"Y62",0.838235
"Y63",0.6
"Y64",0.833333
"Y65",0.625
"Y66",0.818182
"Y67",0.805556
"Y68",1
"Y69",0.872727
"Y70",1
"Y71",0.628458
"Y72",0.666667
"Y73",0.854545
"Y74",0.477833
"Y75",0.866667
"Y76",0.666667
"Y77",1
"Y78",0.6
"Y79",0.666667
"Y8",0.8
"Y80",0.6
"Y81",0.833333
"Y82",0.914286
"Y83",0.369103
"Y84",0.464286
"Y85",0.928571
"Y86",1
"Y87",1
"Y88",0.934066
"Y89",0.833333
"Y9",1
"Y90",0
"Y91",0.0512821
"Y92",0.833333
"Y93",0
