"","calc_PIE(site.sp.tot.mat)","pie.tot.sites.nona","site_code"
"1",0.436363636363636,0.436363636363636,"B10"
"2",0.36892177589852,0.36892177589852,"B11"
"3",NA,1,"B13"
"4",0.666666666666667,0.666666666666667,"B14"
"5",NA,1,"B16"
"6",1,1,"B18"
"7",0.6,0.6,"B19"
"8",1,1,"B2"
"9",0.5,0.5,"B20"
"10",1,1,"B21"
"11",0.666666666666667,0.666666666666667,"B23"
"12",0.666666666666667,0.666666666666667,"B24"
"13",0.8,0.8,"B25"
"14",1,1,"B27"
"15",0.666666666666667,0.666666666666667,"B28"
"16",1,1,"B29"
"17",0.933333333333333,0.933333333333333,"B3"
"18",0.333333333333333,0.333333333333333,"B31"
"19",0,0,"B33"
"20",0.560606060606061,0.560606060606061,"B34"
"21",0,0,"B35"
"22",0.666666666666667,0.666666666666667,"B36"
"23",NA,1,"B37"
"24",0.2,0.2,"B38"
"25",NA,1,"B39"
"26",1,1,"B40"
"27",NA,1,"B41"
"28",0.644444444444444,0.644444444444444,"B42"
"29",NA,1,"B43"
"30",1,1,"B45"
"31",1,1,"B46"
"32",NA,1,"B47"
"33",NA,1,"B49"
"34",1,1,"B5"
"35",NA,1,"B50"
"36",0.5,0.5,"B51"
"37",0.8,0.8,"B53"
"38",0.6,0.6,"B54"
"39",0,0,"B55"
"40",NA,1,"B56"
"41",0,0,"B57"
"42",NA,1,"B58"
"43",NA,1,"B60"
"44",0.6,0.6,"B61"
"45",NA,1,"B62"
"46",NA,1,"B63"
"47",1,1,"B64"
"48",NA,1,"B67"
"49",0.666666666666667,0.666666666666667,"B69"
"50",0.282051282051282,0.282051282051282,"B7"
"51",0.722222222222222,0.722222222222222,"B70"
"52",0.384615384615385,0.384615384615385,"B71"
"53",0.666666666666667,0.666666666666667,"B72"
"54",NA,1,"B73"
"55",0.4,0.4,"B78"
"56",0.4,0.4,"B79"
"57",NA,1,"B8"
"58",0.4,0.4,"B80"
"59",NA,1,"B81"
"60",0.588235294117647,0.588235294117647,"B82"
"61",0.6,0.6,"B83"
"62",0.857142857142857,0.857142857142857,"B87"
"63",0.9,0.9,"B90"
"64",NA,1,"B91"
"65",NA,1,"C1"
"66",0.7,0.7,"C10"
"67",0.7,0.7,"C11"
"68",0.535714285714286,0.535714285714286,"C12"
"69",0.5,0.5,"C13"
"70",0,0,"C14"
"71",NA,1,"C15"
"72",0.8,0.8,"C16"
"73",0.822222222222222,0.822222222222222,"C17"
"74",0.333333333333333,0.333333333333333,"C18"
"75",0.5,0.5,"C2"
"76",0.8,0.8,"C20"
"77",1,1,"C21"
"78",1,1,"C22"
"79",0.75,0.75,"C23"
"80",0.666666666666667,0.666666666666667,"C3"
"81",NA,1,"C4"
"82",1,1,"C5"
"83",0.666666666666667,0.666666666666667,"C6"
"84",1,1,"C7"
"85",0.833333333333333,0.833333333333333,"C8"
"86",0.722222222222222,0.722222222222222,"C9"
"87",0.833333333333333,0.833333333333333,"CC2"
"88",0,0,"CC3"
"89",1,1,"CC4"
"90",0.464285714285714,0.464285714285714,"CC5"
"91",0.9,0.9,"CC6"
"92",1,1,"CC7"
"93",0.6,0.6,"CC8"
"94",0.508305647840531,0.508305647840531,"CO1"
"95",0.835164835164835,0.835164835164835,"CO2"
"96",NA,1,"CP1"
"97",1,1,"CP2"
"98",0.607142857142857,0.607142857142857,"CSC1"
"99",NA,1,"CSC2"
"100",0.9,0.9,"CSC3"
"101",0,0,"CSC4"
"102",1,1,"CSC5"
"103",NA,1,"CSC7"
"104",1,1,"CSC8"
"105",1,1,"CSC9"
"106",1,1,"G5"
"107",0.785714285714286,0.785714285714286,"H1"
"108",0.9,0.9,"H2"
"109",0.822222222222222,0.822222222222222,"H3"
"110",0.857142857142857,0.857142857142857,"H4"
"111",0.7,0.7,"H5"
"112",0.964285714285714,0.964285714285714,"H6"
"113",0.666666666666667,0.666666666666667,"H7"
"114",0.857142857142857,0.857142857142857,"IG1"
"115",0.9,0.9,"IG2"
"116",1,1,"IG3"
"117",0,0,"IG4"
"118",0.933333333333333,0.933333333333333,"IG5"
"119",0.666666666666667,0.666666666666667,"IG7"
"120",0,0,"J1"
"121",NA,1,"J10"
"122",0.5,0.5,"J11"
"123",NA,1,"J12"
"124",NA,1,"J14"
"125",1,1,"J17"
"126",1,1,"J19"
"127",0.833333333333333,0.833333333333333,"J2"
"128",0.8,0.8,"J20"
"129",0.8,0.8,"J3"
"130",0,0,"J6"
"131",1,1,"J7"
"132",1,1,"KP1"
"133",0,0,"KP10"
"134",0,0,"KP2"
"135",0,0,"KP4"
"136",0,0,"KP5"
"137",0.5,0.5,"KP6"
"138",0.192307692307692,0.192307692307692,"KP7"
"139",0.388888888888889,0.388888888888889,"KP8"
"140",0.6,0.6,"KP9"
"141",0,0,"KS1"
"142",0.9,0.9,"KS2"
"143",0.5,0.5,"LH10"
"144",1,1,"LH12"
"145",0.285714285714286,0.285714285714286,"LH2"
"146",0.666666666666667,0.666666666666667,"LH3"
"147",1,1,"LH4"
"148",1,1,"LH7"
"149",0.9,0.9,"LH8"
"150",0,0,"LO1"
"151",1,1,"LO10"
"152",0,0,"LO100"
"153",0.73202614379085,0.73202614379085,"LO102"
"154",0,0,"LO103"
"155",NA,1,"LO104"
"156",NA,1,"LO105"
"157",1,1,"LO108"
"158",0,0,"LO109"
"159",0.666666666666667,0.666666666666667,"LO11"
"160",NA,1,"LO111"
"161",1,1,"LO112"
"162",1,1,"LO115"
"163",1,1,"LO116"
"164",0.642857142857143,0.642857142857143,"LO119"
"165",1,1,"LO12"
"166",0.666666666666667,0.666666666666667,"LO123"
"167",0,0,"LO125"
"168",NA,1,"LO126"
"169",1,1,"LO128"
"170",0.666666666666667,0.666666666666667,"LO13"
"171",1,1,"LO130"
"172",1,1,"LO131"
"173",0.833333333333333,0.833333333333333,"LO132"
"174",0.4,0.4,"LO133"
"175",NA,1,"LO134"
"176",0,0,"LO135"
"177",NA,1,"LO139"
"178",0.666666666666667,0.666666666666667,"LO14"
"179",NA,1,"LO140"
"180",1,1,"LO142"
"181",NA,1,"LO143"
"182",NA,1,"LO146"
"183",0,0,"LO149"
"184",1,1,"LO15"
"185",0.733333333333333,0.733333333333333,"LO152"
"186",0.833333333333333,0.833333333333333,"LO153"
"187",0,0,"LO154"
"188",1,1,"LO155"
"189",0.777777777777778,0.777777777777778,"LO156"
"190",0,0,"LO158"
"191",1,1,"LO161"
"192",0.8,0.8,"LO162"
"193",0.5,0.5,"LO163"
"194",NA,1,"LO167"
"195",NA,1,"LO17"
"196",0.833333333333333,0.833333333333333,"LO171"
"197",NA,1,"LO18"
"198",0.833333333333333,0.833333333333333,"LO19"
"199",0.8,0.8,"LO2"
"200",0,0,"LO22"
"201",1,1,"LO24"
"202",0.5,0.5,"LO25"
"203",1,1,"LO26"
"204",NA,1,"LO28"
"205",1,1,"LO29"
"206",0.8,0.8,"LO3"
"207",0.666666666666667,0.666666666666667,"LO30"
"208",1,1,"LO32"
"209",0,0,"LO33"
"210",0.666666666666667,0.666666666666667,"LO34"
"211",NA,1,"LO35"
"212",0.833333333333333,0.833333333333333,"LO36"
"213",0,0,"LO37"
"214",1,1,"LO38"
"215",NA,1,"LO39"
"216",1,1,"LO4"
"217",0,0,"LO43"
"218",0,0,"LO44"
"219",1,1,"LO45"
"220",0,0,"LO48"
"221",1,1,"LO49"
"222",NA,1,"LO5"
"223",0,0,"LO50"
"224",0.833333333333333,0.833333333333333,"LO54"
"225",NA,1,"LO56"
"226",0,0,"LO58"
"227",0.666666666666667,0.666666666666667,"LO59"
"228",1,1,"LO6"
"229",NA,1,"LO60"
"230",0.8,0.8,"LO63"
"231",0.583333333333333,0.583333333333333,"LO64"
"232",0.933333333333333,0.933333333333333,"LO65"
"233",NA,1,"LO66"
"234",0,0,"LO67"
"235",0.675,0.675,"LO68"
