"Site.Code","sr.site"
"I1",3.16666666666667
"I10",2.07692307692308
"I11",2.42857142857143
"I12",2.125
"I13",3
"I14",1.33333333333333
"I15",2.41666666666667
"I16",2.86666666666667
"I2",4.5
"I3",2.8
"I4",2.57142857142857
"I5",2.4
"I6",3
"I7",2
"I8",2.5
"I9",2.11111111111111
"P1",2.09375
"P2",2.54545454545455
"P3",7
"P4",4.28571428571429
"P5",2
"P6",1.65432098765432
"P7",2.27586206896552
"S1",6
"S10",5
"S100",9
"S101",3
"S102",8
"S103",8
"S104",7
"S105",8
"S106",6
"S107",3
"S108",3
"S109",8
"S11",8
"S12",4
"S13",6
"S14",6
"S15",5
"S16",7
"S17",6
"S18",7
"S19",10
"S2",4
"S20",6
"S21",10
"S22",6
"S23",4
"S24",9
"S25",3
"S26",5
"S27",7
"S28",7
"S29",5
"S3",4
"S30",11
"S31",7
"S32",4
"S33",8
"S34",7
"S35",11
"S36",4
"S37",5
"S38",5
"S39",6
"S4",4
"S40",8
"S41",6
"S42",4
"S43",7
"S44",10
"S45",7
"S46",9
"S47",7
"S48",6
"S49",3
"S5",6
"S50",4
"S51",10
"S52",8
"S53",4
"S54",10
"S55",9
"S56",6
"S57",5
"S58",5
"S59",6
"S6",1
"S60",7
"S61",9
"S62",9
"S63",11
"S64",15
"S65",7
"S66",6
"S67",5
"S68",7
"S69",7
"S7",3
"S70",6
"S71",8
"S72",8
"S73",4
"S74",7
"S75",5
"S76",8
"S77",8
"S78",4
"S79",3
"S8",1
"S80",3
"S81",4
"S82",6
"S83",8
"S84",9
"S85",5
"S86",4
"S87",1
"S88",3
"S89",7
"S9",2
"S90",2
"S91",4
"S92",3
"S93",6
"S94",6
"S95",5
"S96",4
"S97",4
"S98",8
"S99",4
"Y1",3
"Y10",4
"Y11",9
"Y12",5
"Y13",6
"Y14",1
"Y15",4
"Y16",4
"Y17",4
"Y18",2
"Y19",4
"Y2",3
"Y20",4
"Y21",2
"Y22",2
"Y23",4
"Y24",8
"Y25",3
"Y26",1
"Y27",4
"Y28",5
"Y29",6
"Y3",4
"Y30",1
"Y31",1
"Y32",3
"Y33",7
"Y34",2
"Y35",5
"Y36",3
"Y37",2
"Y4",3
"Y40",12
"Y42",2
"Y43",3
"Y44",3
"Y45",2
"Y46",9
"Y47",2
"Y48",3
"Y49",1
"Y5",7
"Y50",5
"Y51",3
"Y52",2
"Y53",2
"Y54",15
"Y55",7
"Y56",3
"Y57",3
"Y58",3
"Y59",1
"Y6",2
"Y60",5
"Y61",7
"Y62",6
"Y63",3
"Y64",3
"Y65",7
"Y66",7
"Y67",5
"Y68",2
"Y69",6
"Y70",2
"Y71",5
"Y72",2
"Y73",6
"Y74",7
"Y75",4
"Y76",3
"Y77",2
"Y78",3
"Y79",2
"Y8",4
"Y80",4
"Y81",12
"Y82",9
"Y83",5
"Y84",3
"Y85",6
"Y86",5
"Y87",1
"Y88",9
"Y89",3
"Y9",3
"Y90",1
"Y91",2
"Y92",3
"Y93",1
