Site.Code,GS.Type,Max.Height.cwm,Growth.rate.cwm,Shade.tol.cwm,Drought.tol.cwm,Tree.shape.cwm,Flowering.cwm,Fruiting.cwm,Fall.col.cwm,Leaf.shape.cwm,Bark.cwm,,,,,,,,,,,,,,,
B10,Park,13.09090909,1.272727273,1.727272727,4.181818182,0.272727273,1,1,0.727272727,5,3,,,,,,,,,,,,,,,
B11,Park,15.51136364,0.25,3.568181818,3.227272727,1.386363636,0.795454545,0.977272727,0.977272727,4.318181818,2.568181818,,,,,,,,,,,,,,,
B13,Park,11.5,1,2,5,0,1,1,0,3,2,,,,,,,,,,,,,,,
B14,Park,13.66666667,1,2,3,0,0,0.333333333,0,1.666666667,2.666666667,,,,,,,,,,,,,,,
B16,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
B18,Park,18.375,1.75,3,3.25,0.25,1,0.75,0.25,2.5,2.25,,,,,,,,,,,,,,,
B19,Park,14,0.5,4.166666667,2.333333333,1.333333333,0.833333333,0.833333333,0.666666667,4,2.5,,,,,,,,,,,,,,,
B2,Park,11.4,1.333333333,3,3.333333333,1.333333333,0.666666667,0.666666667,0,1.666666667,2.333333333,,,,,,,,,,,,,,,
B20,Park,15.75,0.5,4.75,2.25,0.75,1,1,0.75,4,2.75,,,,,,,,,,,,,,,
B21,Park,12.33333333,0.666666667,3.333333333,3,0.666666667,0.666666667,0.666666667,0.666666667,4,3,,,,,,,,,,,,,,,
B23,Park,13.76666667,1.333333333,4,3.333333333,1,1,1,0,1.333333333,1.666666667,,,,,,,,,,,,,,,
B24,Park,15.75,1.5,3,4,0,1,1,0.5,3,2.5,,,,,,,,,,,,,,,
B25,Park,15.3,1.4,4.2,3,0.6,0.8,1,0.4,2.8,2.4,,,,,,,,,,,,,,,
B27,Park,19.25,1.5,3.5,3.5,0,1,1,0,2,2.5,,,,,,,,,,,,,,,
B28,Park,14.6,0.333333333,2.666666667,3.333333333,1,1,1,1,5,3,,,,,,,,,,,,,,,
B29,Park,17.1,1.666666667,2.666666667,3,0.333333333,1,1,0.666666667,2.666666667,2.666666667,,,,,,,,,,,,,,,
B3,Park,15.16666667,1.166666667,4.166666667,3.333333333,0.5,1,0.833333333,0.5,3.5,2.666666667,,,,,,,,,,,,,,,
B31,Park,14.05,1,2,4.833333333,0.166666667,1,1,1,5,3,,,,,,,,,,,,,,,
B33,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
B34,Park,9.566666667,1.666666667,2.083333333,4.083333333,2,1,0.25,0.333333333,3.333333333,1.5,,,,,,,,,,,,,,,
B35,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
B36,Park,15.75,1.5,3,4,0,1,1,0.5,3,2.5,,,,,,,,,,,,,,,
B37,Park,12.2,1,4,4,4,1,1,0,2,2,,,,,,,,,,,,,,,
B38,Park,16.62,1,2.3,3.9,1,1,1,1,5,3,,,,,,,,,,,,,,,
B39,Park,19.5,1,5,3,1,0,1,0,2,2,,,,,,,,,,,,,,,
B40,Park,23.75,1.5,2.5,2.5,0,0.5,1,0,2,2,,,,,,,,,,,,,,,
B41,Park,17.5,1,2,4,3,0,1,1,2,1,,,,,,,,,,,,,,,
B42,Park,16.05,1,2.1,4.4,0.5,1,1,0.9,4.6,2.9,,,,,,,,,,,,,,,
B43,Park,16.8,1,2,4,1,1,1,1,5,3,,,,,,,,,,,,,,,
B45,Park,13.05,0.75,3.5,2.75,0.25,0.5,0.5,0.5,3,2,,,,,,,,,,,,,,,
B46,Park,18.75,1.5,2.5,3.5,0.5,1,1,0,1,2,,,,,,,,,,,,,,,
B47,Park,19.5,2,2,3,0,1,1,0,3,2,,,,,,,,,,,,,,,
B49,Park,22.5,1,3,4,0,1,1,0,1,2,,,,,,,,,,,,,,,
B5,Park,16.2,1,2.75,3.75,0.5,0.75,0.75,0.5,3.75,2.5,,,,,,,,,,,,,,,
B50,Park,22,1,2,3,1,1,1,0,5,3,,,,,,,,,,,,,,,
B51,Park,19,1.75,3.5,3,0.25,1,1,0,2,2.25,,,,,,,,,,,,,,,
B53,Park,16.96,1,2,3.2,0.2,1,0.2,0.6,3.4,2.2,,,,,,,,,,,,,,,
B54,Park,14.5,1,2.5,3.5,0,0.5,0.5,0,2.5,3,,,,,,,,,,,,,,,
B55,Park,17.5,1,2,4,3,0,1,1,2,1,,,,,,,,,,,,,,,
B56,Park,18,2,3,4,0,1,1,0,2,2,,,,,,,,,,,,,,,
B57,Park,21,1,4,3,0,0,1,0,2,2,,,,,,,,,,,,,,,
B58,Park,26.5,2,1,2,0,1,1,0,2,2,,,,,,,,,,,,,,,
B60,Park,15,0,4,3,1,1,1,1,5,3,,,,,,,,,,,,,,,
B61,Park,16.45,1.333333333,2.333333333,3.833333333,0.666666667,1,1,0.666666667,3.833333333,2.666666667,,,,,,,,,,,,,,,
B62,Park,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
B63,Park,16.8,1,2,4,1,1,1,1,5,3,,,,,,,,,,,,,,,
B64,Park,19,1.333333333,3.666666667,3.333333333,0.666666667,1,0.666666667,0.666666667,3.666666667,2.333333333,,,,,,,,,,,,,,,
B67,Park,21,1,4,3,0,0,1,0,2,2,,,,,,,,,,,,,,,
B69,Park,15,1.333333333,3,4,0.333333333,1,0.333333333,0.333333333,3.666666667,3,,,,,,,,,,,,,,,
B7,Park,17.6,1,2,3.846153846,1,1,1,0.846153846,5,3,,,,,,,,,,,,,,,
B70,Park,9.055555556,1.222222222,3.333333333,2.555555556,1.333333333,0.222222222,0.666666667,0,1.777777778,1.888888889,,,,,,,,,,,,,,,
B71,Park,13.5,0.230769231,3.538461538,3,0.769230769,0.769230769,0.769230769,0.769230769,4.307692308,3,,,,,,,,,,,,,,,
B72,Park,15,0.571428571,3.571428571,2.857142857,0.714285714,1,1,0.714285714,3.857142857,2.714285714,,,,,,,,,,,,,,,
B73,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
B78,Park,17.54,1,2.6,3.8,0.8,1,1,0.8,4.2,2.8,,,,,,,,,,,,,,,
B79,Park,17.54,1,2.6,3.8,0.8,1,1,0.8,4.2,2.8,,,,,,,,,,,,,,,
B8,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
B80,Park,15.36,0.2,3.6,3.2,1,1,1,1,5,3,,,,,,,,,,,,,,,
B81,Park,12,2,1,5,0,0,1,0,3,2,,,,,,,,,,,,,,,
B82,Park,15.21176471,0.117647059,4.058823529,2.823529412,1,1,1,1,5,3,,,,,,,,,,,,,,,
B83,Park,7.8,1.4,4,2.8,1.8,0.4,1,0,2.4,1.8,,,,,,,,,,,,,,,
B87,Park,15.55714286,0.857142857,3,3.571428571,0.857142857,0.857142857,0.857142857,0.857142857,4.571428571,3,,,,,,,,,,,,,,,
B90,Park,16.16,0.6,3,3.8,0.6,1,1,0.8,4.6,3,,,,,,,,,,,,,,,
B91,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
C1,Park,15,2,2,5,0,0,0,0,2,3,,,,,,,,,,,,,,,
C10,Park,20.1,1.2,4.2,3,0.2,0.2,1,0,1.8,2,,,,,,,,,,,,,,,
C11,Park,13.5,1.8,3,3,0.2,0.2,0.4,0,1.8,2.6,,,,,,,,,,,,,,,
C12,Park,14.0625,1.625,3.25,3,0,0.625,1,0.375,1.375,1.625,,,,,,,,,,,,,,,
C13,Park,10.5,1,2.75,3,0.25,0,1,0.75,2,1.25,,,,,,,,,,,,,,,
C14,Park,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
C15,Park,15,2,2,5,0,0,0,0,2,3,,,,,,,,,,,,,,,
C16,Park,9.954545455,1.181818182,3.454545455,3.454545455,0.181818182,0.454545455,1,0.363636364,2.181818182,1.818181818,,,,,,,,,,,,,,,
C17,Park,16.6,1.4,3.9,3.5,0.1,0.5,1,0,2.4,2.2,,,,,,,,,,,,,,,
C18,Park,8.25,1.166666667,2.333333333,3.166666667,0,0.166666667,1,0.833333333,2.166666667,1.333333333,,,,,,,,,,,,,,,
C2,Park,8.25,1,3.5,3,0.25,0.75,1,0,1.25,2.75,,,,,,,,,,,,,,,
C20,Park,18.3,1.4,3,3.4,0,1,0.6,0.4,2.6,2,,,,,,,,,,,,,,,
C21,Park,14.25,2,2.5,4,0,0.5,0.5,0,1.5,2.5,,,,,,,,,,,,,,,
C22,Park,4.3,1.5,2.5,3.5,3,0.5,1,0.5,2,2,,,,,,,,,,,,,,,
C23,Park,15.85625,1.25,3.6875,3.1875,0.6875,0.25,0.9375,0.1875,2.3125,2.3125,,,,,,,,,,,,,,,
C3,Park,18.5,1.666666667,3,4,0,1,1,0,2.333333333,2,,,,,,,,,,,,,,,
C4,Park,20.5,1,5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
C5,Park,16.5,1.5,4,3.5,0,0.5,1,0,2.5,2.5,,,,,,,,,,,,,,,
C6,Park,11.25,1.5,3.5,3,0,1,1,0,1,2.5,,,,,,,,,,,,,,,
C7,Park,20.6,2,3,3,0,1,1,0,2,2,,,,,,,,,,,,,,,
C8,Park,17.375,1,3.25,3,0,0.25,0.5,0.25,2.25,1.75,,,,,,,,,,,,,,,
C9,Park,10.44444444,1.555555556,4,3.777777778,0,1,1,0,2.111111111,2.333333333,,,,,,,,,,,,,,,
CC2,Inst,9.625,1.5,3.25,3,1.5,0.5,1,0,1.5,1.5,,,,,,,,,,,,,,,
CC3,Inst,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
CC4,Inst,14.25,2,2.5,4,0,1,0.5,0,2,2.5,,,,,,,,,,,,,,,
