"Var1","Var2","Freq"
"ABBA","Y1",0
"ACFR","Y1",0
"ACGI","Y1",0
"ACNE","Y1",0
"ACPA","Y1",0
"ACPL","Y1",3
"ACRU","Y1",0
"ACSA","Y1",0
"ACSC","Y1",0
"ACTA","Y1",0
"AEHI","Y1",0
"AMCA","Y1",0
"AMGR","Y1",0
"AMLA","Y1",0
"BEAL","Y1",0
"BENI","Y1",0
"BEPA","Y1",0
"BEPO","Y1",0
"CAAR","Y1",0
"CACO","Y1",0
"CECA","Y1",0
"CEJA","Y1",0
"CEOC","Y1",0
"CHNO","Y1",0
"CHPI","Y1",0
"COFL","Y1",0
"CTCO","Y1",0
"CTSP","Y1",0
"EUAL","Y1",0
"EUAT","Y1",0
"FAGR","Y1",0
"FASY","Y1",0
"FRAM","Y1",0
"FRPE","Y1",0
"FRPR","Y1",0
"GIBI","Y1",0
"GLTR","Y1",0
"HYPA","Y1",0
"HYQU","Y1",0
"JUCO","Y1",0
"JURE","Y1",0
"JUSC","Y1",0
"JUVI","Y1",0
"LALA","Y1",0
"LATA","Y1",0
"LIAM","Y1",0
"LITU","Y1",0
"LOMA","Y1",0
"LOXY","Y1",0
"LYCH","Y1",0
"MABA","Y1",0
"MADO","Y1",0
"MASY","Y1",0
"MAXXLO","Y1",0
"MGXXSN","Y1",0
"MGXXSO","Y1",0
"MGXXSU","Y1",0
"MOAL","Y1",0
"PHCO","Y1",0
"PHVI","Y1",0
"PIAB","Y1",0
"PIGL","Y1",0
"PIMA","Y1",0
"PIPU","Y1",0
"PIRU","Y1",0
"PNNI","Y1",0
"PNST","Y1",0
"PODE","Y1",0
"PRAV","Y1",0
"PRCO","Y1",0
"PRCR","Y1",0
"PRPA","Y1",0
"PRSE","Y1",0
"PRVI","Y1",0
"PRVISC","Y1",0
"PYCO","Y1",0
"QUAL","Y1",0
"QUBI","Y1",0
"QUMA","Y1",0
"QURO","Y1",0
"RHCA","Y1",0
"RHTY","Y1",0
"ROPS","Y1",0
"ROWO","Y1",0
"SADI","Y1",0
"SANI","Y1",0
"SOAU","Y1",0
"SOTO","Y1",0
"SYRE","Y1",0
"SYVU","Y1",2
"TACA","Y1",0
"THOC","Y1",18
"TIAM","Y1",0
"TICO","Y1",0
"TSCA","Y1",0
"ULAM","Y1",0
"ULPU","Y1",0
"ULXXFR","Y1",0
"VILACO","Y1",0
"VILE","Y1",0
"WEFL","Y1",0
"ABBA","Y10",0
"ACFR","Y10",0
"ACGI","Y10",0
"ACNE","Y10",0
"ACPA","Y10",0
"ACPL","Y10",0
"ACRU","Y10",0
"ACSA","Y10",0
"ACSC","Y10",0
"ACTA","Y10",0
"AEHI","Y10",0
"AMCA","Y10",0
"AMGR","Y10",0
"AMLA","Y10",0
"BEAL","Y10",0
"BENI","Y10",0
"BEPA","Y10",0
