Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
LALA,B10,Park,3,12,2,1,2,1,1,1,0,5,3
PNSY,B10,Park,8,13.5,1,2,5,0,1,1,1,5,3
CAAB,B11,Park,9,17.5,1,2,4,3,0,1,1,2,1
CEOC,B11,Park,1,15,2,3,4,0,1,0,0,2,2
THOC,B11,Park,34,15,0,4,3,1,1,1,1,5,3
PHAM,B13,Park,1,11.5,1,2,5,0,1,1,0,3,2
LITU,B14,Park,1,24,1,2,3,0,0,1,0,1,2
MABA,B14,Park,2,8.5,1,2,3,0,0,0,0,2,3
ACPL,B16,Park,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,B18,Park,1,18,2,4,3,0,1,1,0,1,2
FRAM,B18,Park,1,19.5,2,2,3,0,1,1,0,3,2
PNST,B18,Park,1,19.5,2,3,3,1,1,0,1,5,2
QUBI,B18,Park,1,16.5,1,3,4,0,1,1,0,1,3
ACFR,B19,Park,1,15,2,2,3,1,1,1,0,1,2
PIAB,B19,Park,4,15,0,5,2,1,1,1,1,5,3
SOAU,B19,Park,1,9,1,3,3,3,0,0,0,3,1
ACPL,B2,Park,1,13.5,2,3,3,0,1,1,0,1,2
MABA,B2,Park,1,8.5,1,2,3,0,0,0,0,2,3
ULXXFR,B2,Park,1,12.2,1,4,4,4,1,1,0,2,2
ACSA,B20,Park,1,18,2,4,3,0,1,1,0,1,2
PIAB,B20,Park,3,15,0,5,2,1,1,1,1,5,3
MABA,B21,Park,1,8.5,1,2,3,0,0,0,0,2,3
PIGL,B21,Park,1,15,1,5,3,1,1,1,1,5,3
PIPU,B21,Park,1,13.5,0,3,3,1,1,1,1,5,3
ACSA,B23,Park,2,18,2,4,3,0,1,1,0,1,2
EUAL,B23,Park,1,5.3,0,4,4,3,1,1,0,2,1
ACSA,B24,Park,2,18,2,4,3,0,1,1,0,1,2
PNSY,B24,Park,2,13.5,1,2,5,0,1,1,1,5,3
ACPL,B25,Park,2,13.5,2,3,3,0,1,1,0,1,2
PIGL,B25,Park,2,15,1,5,3,1,1,1,1,5,3
TICO,B25,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSA,B27,Park,1,18,2,4,3,0,1,1,0,1,2
GYDI,B27,Park,1,20.5,1,3,4,0,1,1,0,3,3
PIPU,B28,Park,2,13.5,0,3,3,1,1,1,1,5,3
PNNI,B28,Park,1,16.8,1,2,4,1,1,1,1,5,3
ACSA,B29,Park,1,18,2,4,3,0,1,1,0,1,2
BENI,B29,Park,1,16.5,2,2,2,0,1,1,1,2,3
PNNI,B29,Park,1,16.8,1,2,4,1,1,1,1,5,3
ACNE,B3,Park,1,12,2,4,4,0,1,1,0,3,3
ACSC,B3,Park,1,20.5,1,5,3,0,1,1,0,1,2
CEOC,B3,Park,1,15,2,3,4,0,1,0,0,2,2
PIGL,B3,Park,2,15,1,5,3,1,1,1,1,5,3
PIPU,B3,Park,1,13.5,0,3,3,1,1,1,1,5,3
PNNI,B31,Park,1,16.8,1,2,4,1,1,1,1,5,3
PNSY,B31,Park,5,13.5,1,2,5,0,1,1,1,5,3
