"","Var2","RICHNESS"
"1","B10",2
"2","B11",3
"3","B13",1
"4","B14",2
"5","B16",1
"6","B18",4
"7","B19",3
"8","B2",3
"9","B20",2
"10","B21",3
"11","B23",2
"12","B24",2
"13","B25",3
"14","B27",2
"15","B28",2
"16","B29",3
"17","B3",5
"18","B31",2
"19","B33",1
"20","B34",4
"21","B35",1
"22","B36",2
"23","B37",1
"24","B38",2
"25","B39",1
"26","B40",2
"27","B41",1
"28","B42",3
"29","B43",1
"30","B45",4
"31","B46",2
"32","B47",1
"33","B49",1
"34","B5",4
"35","B50",1
"36","B51",2
"37","B53",3
"38","B54",2
"39","B55",1
"40","B56",1
"41","B57",1
"42","B58",1
"43","B60",1
"44","B61",3
"45","B62",1
"46","B63",1
"47","B64",3
"48","B67",1
"49","B69",2
"50","B7",2
"51","B70",3
"52","B71",2
"53","B72",3
"54","B73",1
"55","B78",2
"56","B79",2
"57","B8",1
"58","B80",2
"59","B81",1
"60","B82",3
"61","B83",2
"62","B87",5
"63","B90",4
"64","B91",1
"65","C1",1
"66","C10",3
"67","C11",3
"68","C12",2
"69","C13",2
"70","C14",1
"71","C15",1
"72","C16",4
"73","C17",5
"74","C18",2
"75","C2",2
"76","C20",3
"77","C21",2
"78","C22",2
"79","C23",7
"80","C3",2
"81","C4",1
"82","C5",2
"83","C6",2
"84","C7",3
"85","C8",3
"86","C9",3
"87","CC2",3
"88","CC3",1
"89","CC4",2
"90","CC5",3
"91","CC6",4
"92","CC7",2
"93","CC8",3
"94","CO1",8
"95","CO2",6
"96","CP1",1
"97","CP2",3
"98","CSC1",3
"99","CSC2",1
"100","CSC3",4
"101","CSC4",1
"102","CSC5",2
"103","CSC7",1
"104","CSC8",2
"105","CSC9",3
"106","G5",3
"107","H1",4
"108","H2",4
"109","H3",5
"110","H4",5
"111","H5",3
"112","H6",7
"113","H7",2
"114","IG1",5
"115","IG2",4
"116","IG3",2
"117","IG4",1
"118","IG5",5
"119","IG7",2
"120","J1",1
"121","J10",1
"122","J11",2
"123","J12",1
"124","J14",1
"125","J17",5
"126","J19",4
"127","J2",3
"128","J20",4
"129","J3",3
"130","J6",1
"131","J7",3
"132","KP1",2
"133","KP10",1
"134","KP2",1
"135","KP4",1
"136","KP5",1
"137","KP6",2
"138","KP7",5
"139","KP8",2
"140","KP9",4
"141","KS1",1
"142","KS2",4
